Company Name,Business Name,Street Address,City,State Abbreviation,Zip Code,Telephone Number,Line of Business,Primary NAICS,Primary SIC,Sales Volume,Total Employees,Local Employees,Year Started
AMBITIOUS INK,,801 N 13TH ST,SAN JOSE,CA,951121527,4087103216,MISC PERSONAL SERVICES,812199,72990106,44191,5,5,2016
ANALOG 1,,34 S 1ST ST,SAN JOSE,CA,951132406,4082927766,MISC PERSONAL SERVICES,812199,72990106,66621,2,2,2008
ANTS TATTOO SJ INC,,15 TILLMAN AVE,SAN JOSE,CA,951262656,,MISC PERSONAL SERVICES,812199,72990106,18946,3,3,2021
APPROVED INK NOTARY,,3144 APPERSON RIDGE DR,SAN JOSE,CA,951483048,4082385381,MISC PERSONAL SERVICES,812199,72990106,32641,4,4,2015
ART OF THE HEART TATTOOS,,237 W MAIN AVE,MORGAN HILL,CA,950374533,4086124006,MISC PERSONAL SERVICES,812199,72990106,96535,3,3,2016
ATHELITE,,723 RIVER FALLS DR,SAN JOSE,CA,951112556,4085350257,MISC PERSONAL SERVICES,812199,72990106,36027,1,1,1997
BELIEVINK TATTOO STUDIO,,8620 SAN YSIDRO AVE # 136,GILROY,CA,950203663,4086428205,MISC PERSONAL SERVICES,812199,72990106,18946,4,4,2015
BLACKSUIT TATTOO,,17 S 2ND ST,SAN JOSE,CA,951132502,4086485501,MISC PERSONAL SERVICES,812199,72990106,49379,3,3,2016
BODY EXOTIC INC,,957 W SAN CARLOS ST,SAN JOSE,CA,951263437,4089939684,MISC PERSONAL SERVICES,812199,72990106,178522,5,5,1995
BODY JEWLZ,,2855 STEVENS CREEK BLVD # 2499,SANTA CLARA,CA,950506744,4082440334,MISC PERSONAL SERVICES,812199,72990106,55540,5,5,2013
"BRODERIE INK, LLC",,142 W CALAVERAS BLVD,MILPITAS,CA,950355202,,MISC PERSONAL SERVICES,812199,72990106,44623,4,4,2016
BULLDOG CORP INC,,285 S CAPITOL AVE,SAN JOSE,CA,951272844,4085370500,MISC PERSONAL SERVICES,812199,72990106,272270,4,4,2002
BULLDOG LIFESTYLES,,291 S CAPITOL AVE,SAN JOSE,CA,951272844,4087293600,MISC PERSONAL SERVICES,812199,72990106,302803,8,8,2001
CAMPBALL TATTOO SHOP,,1510 CAMDEN AVE,CAMPBELL,CA,950086784,4083405497,MISC PERSONAL SERVICES,812199,72990106,104809,4,4,2016
CHAPTER TATTOO,,409 E ARQUES AVE,SUNNYVALE,CA,940854406,,MISC PERSONAL SERVICES,812199,72990106,29311,4,4,2011
CRUZ CREATIONS TATTOO,,8620 SAN YSIDRO AVE # 136,GILROY,CA,950203663,,MISC PERSONAL SERVICES,812199,72990106,106451,5,5,2008
CRUZ TATTOO,,8395 FOREST ST,GILROY,CA,950204552,4087672219,MISC PERSONAL SERVICES,812199,72990106,41301,4,4,2017
CURRENT TATTOOING,,48 RACE ST,SAN JOSE,CA,951263130,4082886822,MISC PERSONAL SERVICES,812199,72990106,53884,2,2,2011
D A UNDERGROUND TAT-2,,3132 STORY RD,SAN JOSE,CA,951273816,4082591583,MISC PERSONAL SERVICES,812199,72990106,27341,1,1,2003
DA WEI & LILY YUN TATTOO STUDIO,DA WEI & LILY TATTOO,1053 E EL CAMINO REAL # 2,SUNNYVALE,CA,940873782,4089830833,MISC PERSONAL SERVICES,812199,72990106,214073,2,2,1992
DAN DAN INK LLC,,416 W SAN CARLOS ST,SAN JOSE,CA,951102630,4088996292,MISC PERSONAL SERVICES,812199,72990106,46773,5,5,2017
"DANIEL SILVA TATTOOS, LLC",,1323 1ST ST,GILROY,CA,950204735,,MISC PERSONAL SERVICES,812199,72990106,45865,4,4,2019
DEATH BEFORE DISHONOR,,306 S 3RD ST,SAN JOSE,CA,951123648,4082793232,MISC PERSONAL SERVICES,812199,72990106,154054,6,6,2007
EA INK,,1780 EDSEL DR,MILPITAS,CA,950356012,,MISC PERSONAL SERVICES,812199,72990106,54654,4,4,2008
EL TORO BODY SHOP,,17400 MONTEREY ST STE 2D,MORGAN HILL,CA,950377319,4087785444,MISC PERSONAL SERVICES,812199,72990106,130636,3,3,2003
FEDERAL TATTOO,,299 E WASHINGTON AVE,SUNNYVALE,CA,940866253,4084629275,MISC PERSONAL SERVICES,812199,72990106,56526,2,2,2010
FLOATING HOUSE TATTOO STUDIO,,1345 THE ALAMEDA,SAN JOSE,CA,951262651,,MISC PERSONAL SERVICES,812199,72990106,18946,5,5,2019
GLAM UP BEAUTY BAR INC.,,200 CLFRNIA AVE STE 190-B,PALO ALTO,CA,94306,6505644081,PHYSICAL FITNESS FACLTY MISC PERSONAL SERVICE BEAUTY SHOP,713940,79910103,121952,5,5,2019
GODS & MONSTERS LLC,,1050 BLOSSOM HILL RD # 200,SAN JOSE,CA,951231187,,MISC PERSONAL SERVICES,812199,72990106,85624,4,4,2019
GRAVEN IMAGE TATTOO,,1793 LAFAYETTE ST,SANTA CLARA,CA,950503988,4082606868,MISC PERSONAL SERVICES,812199,72990106,63962,2,2,2012
GREEGO BEAUTY & TATTOO,,124 CARROLL ST,SUNNYVALE,CA,940866227,4083355103,MISC PERSONAL SERVICES,812199,72990106,67398,4,4,2019
GURU TATTOO,,2375 S BASCOM AVE,CAMPBELL,CA,950084302,4083774878,MISC PERSONAL SERVICES,812199,72990106,144811,4,4,2002
HENNA AND BEYOND,BINDI BAUBLES,1037 WOOD DUCK AVE,SANTA CLARA,CA,950514566,4082477719,MISC PERSONAL SERVICES,812199,72990106,63968,1,1,2014
HENNA WORLD,,3506 EARL DR,SANTA CLARA,CA,950511911,4086919935,MISC PERSONAL SERVICES,812199,72990106,70906,3,3,2013
HUMBLE BEGINNINGS TATTOO STUDIO,,982 THE ALAMEDA,SAN JOSE,CA,951263136,4082886814,MISC PERSONAL SERVICES,812199,72990106,162256,8,8,2008
"INK MASTER ACCESSORIES, LLC",,315 CRESTVIEW DR,SANTA CLARA,CA,950506505,,MISC PERSONAL SERVICES,812199,72990106,22690,4,4,2015
INKFAMOUSE TATTOO STUDIO LLC,,3181 LONE BLUFF WAY,SAN JOSE,CA,951111217,,MISC PERSONAL SERVICES,812199,72990106,18946,3,3,2020
INKIES TATTOO STUDIO,,1837 SILKWOOD LN,SAN JOSE,CA,951313427,4086496949,MISC PERSONAL SERVICES,812199,72990106,67763,7,7,2009
JILL BONNY TATTOO,STATE OF GRACE TATTOO,221 JACKSON ST,SAN JOSE,CA,951123202,4084417770,MISC PERSONAL SERVICES,812199,72990106,75949,1,1,2003
"JUICY INK, LLC",,1346 THE ALAMEDA 7-229,SAN JOSE,CA,951262699,4086578083,MISC PERSONAL SERVICES,812199,72990106,55736,4,4,2018
LUCKY STARS TATTOOS,,1050 BLCAOM HL RD STE 200,SAN JOSE,CA,95123,4082661186,MISC PERSONAL SERVICES,812199,72990106,136663,3,3,2003
MAKE ME HOLEY,,497 S 2ND ST,SAN JOSE,CA,951132710,4085640563,MISC PERSONAL SERVICES,812199,72990106,125437,4,4,2017
MARKS OF ART,,3014 UNION AVE STE A,SAN JOSE,CA,951242052,4083771924,MISC PERSONAL SERVICES,812199,72990106,48000,1,1,1994
MARS INK TATTOO STUDIO LLC,,1884 W SAN CARLOS ST,SAN JOSE,CA,951281913,4083326425,MISC PERSONAL SERVICES,812199,72990106,257094,5,5,2016
METAMORPHIC TATTOO,,1427 THE ALAMEDA,SAN JOSE,CA,951262653,4087266265,MISC PERSONAL SERVICES,812199,72990106,30956,1,1,2002
MONSTERS OF ROCK,,1189 S DE ANZA BLVD STE A,SAN JOSE,CA,951293662,4083660199,MISC PERSONAL SERVICES RET TOBACCO PRODUCTS,812199,72990106,115669,3,3,2007
NEW GENERATION TATTOO,,1189 BRANHAM LN,SAN JOSE,CA,951183766,,MISC PERSONAL SERVICES,812199,72990106,50681,1,1,2011
OFF THE BLOCK INK,,1070 NEWHALL ST,SAN JOSE,CA,951261037,4088493240,MISC PERSONAL SERVICES,812199,72990106,64051,5,5,2016
PARALLAX,,4324 MOORPARK AVE,SAN JOSE,CA,951292030,,MISC PERSONAL SERVICES,812199,72990106,18946,7,7,2018
PICASSOS TATTOOS,,7901 WESTWOOD DR STE M,GILROY,CA,950204745,,MISC PERSONAL SERVICES,812199,72990106,87000,4,4,2007
PIERCED OUT BODY JEWELRY,,3014 UNION AVE STE B,SAN JOSE,CA,951242052,4085596039,MISC PERSONAL SERVICES,812199,72990106,80179,2,2,1993
PIGMENTS OF IMAGINATION,,14670 BRONSON AVE,SAN JOSE,CA,951243555,4088583428,MISC PERSONAL SERVICES,812199,72990106,52683,4,4,2009
PLAYERS INK TATTOO & BODY PIERCING,,518 W SAN CARLOS ST,SAN JOSE,CA,951263648,4089938282,MISC PERSONAL SERVICES,812199,72990106,48963,1,1,2001
POLISH TATTOOING,,840 WILLOW ST,SAN JOSE,CA,951252381,4082719990,MISC PERSONAL SERVICES,812199,72990106,45626,1,1,2012
PURA TINTA TATTOO,,998 LINCOLN AVE,SAN JOSE,CA,951263710,4083187629,MISC PERSONAL SERVICES,812199,72990106,52956,5,5,2018
PYRAMID TATTOO,,64 KEYSTONE AVE,MORGAN HILL,CA,950374330,4084890468,MISC PERSONAL SERVICES,812199,72990106,52929,4,4,2019
REVOLUTION INK,,557 W EL CAMINO REAL,MOUNTAIN VIEW,CA,940402611,6509383005,MISC PERSONAL SERVICES,812199,72990106,57993,4,4,2016
RONIN.INK LLC,,1164 LENNON WAY,SAN JOSE,CA,951253416,,MISC PERSONAL SERVICES,812199,72990106,53836,4,4,2017
ROSE BLUE TATTOO,,3146 ALUM ROCK AVE,SAN JOSE,CA,951272903,,MISC PERSONAL SERVICES,812199,72990106,36221,3,3,2020
SACRED OATH TATTOOS,,1954 CAMDEN AVE STE 6,SAN JOSE,CA,951242844,4086259044,MISC PERSONAL SERVICES,812199,72990106,39984,4,4,2017
SAIGON TATTOO LLC,,1773 E CAPITOL EXPY # 208,SAN JOSE,CA,951211561,,MISC PERSONAL SERVICES,812199,72990106,65260,3,3,2021
SAILORS INK,,15 EL TORO AVE,MORGAN HILL,CA,950374351,4087627352,MISC PERSONAL SERVICES,812199,72990106,354661,5,5,2014
SAKAMOTO PEN AND INK,,2437 BOOKSIN AVE,SAN JOSE,CA,951254707,4082676367,MISC PERSONAL SERVICES,812199,72990106,59026,5,5,2014
SAN JOSE TATTOO,,198 BROOKLYN AVE,SAN JOSE,CA,951281809,4082988430,MISC PERSONAL SERVICES,812199,72990106,43435,1,1,1995
SASSY SQUIRREL INK,,417 BELMONT AVE,SAN JOSE,CA,951251707,4088164421,MISC PERSONAL SERVICES,812199,72990106,20728,4,4,2016
SILVA'S TATTOOING,,299 E WASHINGTON AVE,SUNNYVALE,CA,940866253,,MISC PERSONAL SERVICES,812199,72990106,63265,5,5,2012
SJ INK,,1029 SUMMERDALE DR,SAN JOSE,CA,951322933,,MISC PERSONAL SERVICES,812199,72990106,34375,4,4,2010
SOUL IMAGEZ TATTOO,TATTOO,2092 CONCOURSE DR STE 37,SAN JOSE,CA,951311893,4088565221,MISC PERSONAL SERVICES,812199,72990106,369920,10,10,2011
STR8INK,,809 LINCOLN AVE,SAN JOSE,CA,951263709,4084904955,MISC PERSONAL SERVICES,812199,72990106,20818,5,5,2019
STRONG TATTOO,,11561 BERRYESSA RD,SAN JOSE,CA,951331009,,MISC PERSONAL SERVICES,812199,72990106,76382,2,2,2007
SUSPECT INK TATTOOS,,48 LESTER AVE APT 5,SAN JOSE,CA,951253145,8089899504,MISC PERSONAL SERVICES,812199,72990106,19159,5,5,2011
TATTOO LIFESTYLEZ,,992 N 4TH ST,SAN JOSE,CA,951124939,,MISC PERSONAL SERVICES,812199,72990106,20841,4,4,2019
THE AIRBRUSH FACTORY,,775 N 10TH ST,SAN JOSE,CA,951123114,4086559717,MISC PERSONAL SERVICES,812199,72990106,18946,5,5,2019
THE HOLY SCYTHE TATTOO,,1043 PARK AVE,SAN JOSE,CA,951263026,4085648176,MISC PERSONAL SERVICES,812199,72990106,18946,5,5,2019
THE PAPER AND INK BOX,,1202 WOODLAWN AVE,SAN JOSE,CA,951284029,4082612145,MISC PERSONAL SERVICES,812199,72990106,65653,5,5,2010
THE PLUG TATTOO,,2117 SANTA CRUZ AVE,SANTA CLARA,CA,950511613,,MISC PERSONAL SERVICES,812199,72990106,36744,4,4,2012
THE VALE TATTOO INC,,192 S MURPHY AVE,SUNNYVALE,CA,940866142,4084819433,MISC PERSONAL SERVICES,812199,72990106,127945,4,4,2013
UNLIMITED INK TATTOO LLC,,4213 BARRYMORE DR,SAN JOSE,CA,951173318,4082179917,MISC PERSONAL SERVICES,812199,72990106,111881,2,2,2012
XIBALBA INK LIMITED LIABILITY COMPANY,,945 S BASCOM AVE,SAN JOSE,CA,951283503,,MISC PERSONAL SERVICES,812199,72990106,18946,4,4,2021